id,createdTime,FarmerID,LGA,Active,JoinedDate,Phone
recFRM0024,2026-03-15T08:00:00.000Z,FRM-2024-0024,Aninri,True,2024-03-15,+2348079093946
recFRM0025,2026-03-15T08:00:00.000Z,FRM-2024-0025,Igbo-Eze,True,2024-03-15,+2348051797497
recFRM0026,2026-03-15T08:00:00.000Z,FRM-2024-0026,Aninri,True,2024-03-15,+2348032673699
recFRM0027,2026-03-15T08:00:00.000Z,FRM-2024-0027,Nsukka,True,2024-03-15,+2348042622816
recFRM0028,2026-03-15T08:00:00.000Z,FRM-2024-0028,Udi,True,2024-03-15,+2348047286312
recFRM0029,2026-03-15T08:00:00.000Z,FRM-2024-0029,Igbo-Eze,True,2024-03-15,+2348074657292
recFRM0030,2026-03-15T08:00:00.000Z,FRM-2024-0030,Enugu-East,True,2024-03-15,+2348034713260
recFRM0031,2026-03-15T08:00:00.000Z,FRM-2024-0031,Udi,True,2024-03-15,+2348059441636
recFRM0032,2026-03-15T08:00:00.000Z,FRM-2024-0032,Aninri,True,2024-03-15,+2348080144933
recFRM0033,2026-03-15T08:00:00.000Z,FRM-2024-0033,Aninri,True,2024-03-15,+2348023111629
recFRM0034,2026-03-15T08:00:00.000Z,FRM-2024-0034,Aninri,True,2024-03-15,+2348033270442
recFRM0035,2026-03-15T08:00:00.000Z,FRM-2024-0035,Igbo-Eze,True,2024-03-15,+2348090243927
recFRM0036,2026-03-15T08:00:00.000Z,FRM-2024-0036,Igbo-Eze,True,2024-03-15,+2348030420243
recFRM0037,2026-03-15T08:00:00.000Z,FRM-2024-0037,Udi,True,2024-03-15,+2348034411708
recFRM0038,2026-03-15T08:00:00.000Z,FRM-2024-0038,Nsukka,True,2024-03-15,+2348033372754
recFRM0039,2026-03-15T08:00:00.000Z,FRM-2024-0039,Udi,True,2024-03-15,+2348093998521
recFRM0040,2026-03-15T08:00:00.000Z,FRM-2024-0040,Udi,True,2024-03-15,+2348069770900
recFRM0041,2026-03-15T08:00:00.000Z,FRM-2024-0041,Enugu-East,True,2024-03-15,+2348088455047
recFRM0042,2026-03-15T08:00:00.000Z,FRM-2024-0042,Udi,True,2024-03-15,+2348024002189
recFRM0043,2026-03-15T08:00:00.000Z,FRM-2024-0043,Aninri,True,2024-03-15,+2348013052517
recFRM0044,2026-03-15T08:00:00.000Z,FRM-2024-0044,Enugu-East,True,2024-03-15,+2348043670550
recFRM0045,2026-03-15T08:00:00.000Z,FRM-2024-0045,Igbo-Eze,True,2024-03-15,+2348063772006
recFRM0046,2026-03-15T08:00:00.000Z,FRM-2024-0046,Enugu-East,True,2024-03-15,+2348077145354
recFRM0047,2026-03-15T08:00:00.000Z,FRM-2024-0047,Aninri,True,2024-03-15,+2348062057561
recFRM0048,2026-03-15T08:00:00.000Z,FRM-2024-0048,Igbo-Eze,True,2024-03-15,+2348012625024
recFRM0049,2026-03-15T08:00:00.000Z,FRM-2024-0049,Nsukka,True,2024-03-15,+2348052450635
recFRM0050,2026-03-15T08:00:00.000Z,FRM-2024-0050,Udi,True,2024-03-15,+2348020120078
recFRM0051,2026-03-15T08:00:00.000Z,FRM-2024-0051,Enugu-East,True,2024-03-15,+2348033351460
recFRM0052,2026-03-15T08:00:00.000Z,FRM-2024-0052,Nsukka,True,2024-03-15,+2348048706078
recFRM0053,2026-03-15T08:00:00.000Z,FRM-2024-0053,Nsukka,True,2024-03-15,+2348056672018
recFRM0054,2026-03-15T08:00:00.000Z,FRM-2024-0054,Aninri,True,2024-03-15,+2348037436368
recFRM0055,2026-03-15T08:00:00.000Z,FRM-2024-0055,Udi,True,2024-03-15,+2348055020864
recFRM0056,2026-03-15T08:00:00.000Z,FRM-2024-0056,Udi,True,2024-03-15,+2348011349326
recFRM0057,2026-03-15T08:00:00.000Z,FRM-2024-0057,Udi,True,2024-03-15,+2348027701546
recFRM0058,2026-03-15T08:00:00.000Z,FRM-2024-0058,Igbo-Eze,True,2024-03-15,+2348025925062
recFRM0059,2026-03-15T08:00:00.000Z,FRM-2024-0059,Nsukka,True,2024-03-15,+2348086551840
recFRM0060,2026-03-15T08:00:00.000Z,FRM-2024-0060,Udi,True,2024-03-15,+2348097544863
recFRM0061,2026-03-15T08:00:00.000Z,FRM-2024-0061,Enugu-East,True,2024-03-15,+2348074344864
recFRM0062,2026-03-15T08:00:00.000Z,FRM-2024-0062,Udi,True,2024-03-15,+2348039332272
recFRM0063,2026-03-15T08:00:00.000Z,FRM-2024-0063,Udi,True,2024-03-15,+2348049536712
recFRM0064,2026-03-15T08:00:00.000Z,FRM-2024-0064,Nsukka,True,2024-03-15,+2348020740714
recFRM0065,2026-03-15T08:00:00.000Z,FRM-2024-0065,Udi,True,2024-03-15,+2348093065871
recFRM0066,2026-03-15T08:00:00.000Z,FRM-2024-0066,Enugu-East,True,2024-03-15,+2348026082001
recFRM0067,2026-03-15T08:00:00.000Z,FRM-2024-0067,Udi,True,2024-03-15,+2348079797317
recFRM0068,2026-03-15T08:00:00.000Z,FRM-2024-0068,Igbo-Eze,True,2024-03-15,+2348047872537
recFRM0069,2026-03-15T08:00:00.000Z,FRM-2024-0069,Igbo-Eze,True,2024-03-15,+2348019946309
recFRM0070,2026-03-15T08:00:00.000Z,FRM-2024-0070,Aninri,True,2024-03-15,+2348048842963
recFRM0071,2026-03-15T08:00:00.000Z,FRM-2024-0071,Enugu-East,True,2024-03-15,+2348072383974
recFRM0072,2026-03-15T08:00:00.000Z,FRM-2024-0072,Nsukka,True,2024-03-15,+2348038665128
recFRM0073,2026-03-15T08:00:00.000Z,FRM-2024-0073,Aninri,True,2024-03-15,+2348058453341
recFRM0074,2026-03-15T08:00:00.000Z,FRM-2024-0074,Enugu-East,True,2024-03-15,+2348058818219
recFRM0075,2026-03-15T08:00:00.000Z,FRM-2024-0075,Udi,True,2024-03-15,+2348091651624
recFRM0076,2026-03-15T08:00:00.000Z,FRM-2024-0076,Nsukka,True,2024-03-15,+2348092286969
recFRM0077,2026-03-15T08:00:00.000Z,FRM-2024-0077,Enugu-East,True,2024-03-15,+2348070848655
recFRM0078,2026-03-15T08:00:00.000Z,FRM-2024-0078,Igbo-Eze,True,2024-03-15,+2348060796364
recFRM0079,2026-03-15T08:00:00.000Z,FRM-2024-0079,Udi,True,2024-03-15,+2348021593184
recFRM0080,2026-03-15T08:00:00.000Z,FRM-2024-0080,Enugu-East,True,2024-03-15,+2348013150103
recFRM0081,2026-03-15T08:00:00.000Z,FRM-2024-0081,Nsukka,True,2024-03-15,+2348076521638
recFRM0082,2026-03-15T08:00:00.000Z,FRM-2024-0082,Igbo-Eze,True,2024-03-15,+2348097577042
recFRM0083,2026-03-15T08:00:00.000Z,FRM-2024-0083,Aninri,True,2024-03-15,+2348092112093
recFRM0084,2026-03-15T08:00:00.000Z,FRM-2024-0084,Igbo-Eze,True,2024-03-15,+2348061233611
recFRM0085,2026-03-15T08:00:00.000Z,FRM-2024-0085,Udi,True,2024-03-15,+2348010335015
recFRM0086,2026-03-15T08:00:00.000Z,FRM-2024-0086,Aninri,True,2024-03-15,+2348029811095
recFRM0087,2026-03-15T08:00:00.000Z,FRM-2024-0087,Aninri,True,2024-03-15,+2348042017531
recFRM0088,2026-03-15T08:00:00.000Z,FRM-2024-0088,Aninri,True,2024-03-15,+2348029898557
recFRM0089,2026-03-15T08:00:00.000Z,FRM-2024-0089,Aninri,True,2024-03-15,+2348039138877
recFRM0090,2026-03-15T08:00:00.000Z,FRM-2024-0090,Nsukka,True,2024-03-15,+2348015782401
recFRM0091,2026-03-15T08:00:00.000Z,FRM-2024-0091,Igbo-Eze,True,2024-03-15,+2348040780171
recFRM0092,2026-03-15T08:00:00.000Z,FRM-2024-0092,Igbo-Eze,True,2024-03-15,+2348012338025
recFRM0093,2026-03-15T08:00:00.000Z,FRM-2024-0093,Igbo-Eze,True,2024-03-15,+2348027291789
recFRM0094,2026-03-15T08:00:00.000Z,FRM-2024-0094,Igbo-Eze,True,2024-03-15,+2348045170423
recFRM0095,2026-03-15T08:00:00.000Z,FRM-2024-0095,Igbo-Eze,True,2024-03-15,+2348051605955
recFRM0096,2026-03-15T08:00:00.000Z,FRM-2024-0096,Nsukka,True,2024-03-15,+2348093997227
recFRM0097,2026-03-15T08:00:00.000Z,FRM-2024-0097,Nsukka,True,2024-03-15,+2348024616327
recFRM0098,2026-03-15T08:00:00.000Z,FRM-2024-0098,Nsukka,True,2024-03-15,+2348037717541
recFRM0099,2026-03-15T08:00:00.000Z,FRM-2024-0099,Enugu-East,True,2024-03-15,+2348051895763
recFRM0100,2026-03-15T08:00:00.000Z,FRM-2024-0100,Nsukka,True,2024-03-15,+2348052697227
recFRM0101,2026-03-15T08:00:00.000Z,FRM-2024-0101,Aninri,True,2024-03-15,+2348029194347
recFRM0102,2026-03-15T08:00:00.000Z,FRM-2024-0102,Enugu-East,True,2024-03-15,+2348034483272
recFRM0103,2026-03-15T08:00:00.000Z,FRM-2024-0103,Nsukka,True,2024-03-15,+2348095322067
recFRM0104,2026-03-15T08:00:00.000Z,FRM-2024-0104,Enugu-East,True,2024-03-15,+2348046821903
recFRM0105,2026-03-15T08:00:00.000Z,FRM-2024-0105,Aninri,True,2024-03-15,+2348064513017
recFRM0106,2026-03-15T08:00:00.000Z,FRM-2024-0106,Igbo-Eze,True,2024-03-15,+2348028443411
recFRM0107,2026-03-15T08:00:00.000Z,FRM-2024-0107,Enugu-East,True,2024-03-15,+2348064949417
recFRM0108,2026-03-15T08:00:00.000Z,FRM-2024-0108,Udi,True,2024-03-15,+2348030632139
recFRM0109,2026-03-15T08:00:00.000Z,FRM-2024-0109,Aninri,True,2024-03-15,+2348071114444
recFRM0110,2026-03-15T08:00:00.000Z,FRM-2024-0110,Udi,True,2024-03-15,+2348036639182
recFRM0111,2026-03-15T08:00:00.000Z,FRM-2024-0111,Nsukka,True,2024-03-15,+2348057509426
recFRM0112,2026-03-15T08:00:00.000Z,FRM-2024-0112,Udi,True,2024-03-15,+2348085931029
recFRM0113,2026-03-15T08:00:00.000Z,FRM-2024-0113,Nsukka,True,2024-03-15,+2348011158867
recFRM0114,2026-03-15T08:00:00.000Z,FRM-2024-0114,Nsukka,True,2024-03-15,+2348045741538
recFRM0115,2026-03-15T08:00:00.000Z,FRM-2024-0115,Udi,True,2024-03-15,+2348014041755
recFRM0116,2026-03-15T08:00:00.000Z,FRM-2024-0116,Enugu-East,True,2024-03-15,+2348078937196
recFRM0117,2026-03-15T08:00:00.000Z,FRM-2024-0117,Enugu-East,True,2024-03-15,+2348036147507
recFRM0118,2026-03-15T08:00:00.000Z,FRM-2024-0118,Aninri,True,2024-03-15,+2348043742845
recFRM0119,2026-03-15T08:00:00.000Z,FRM-2024-0119,Nsukka,True,2024-03-15,+2348037969810
recFRM0120,2026-03-15T08:00:00.000Z,FRM-2024-0120,Enugu-East,True,2024-03-15,+2348064285758
recFRM0121,2026-03-15T08:00:00.000Z,FRM-2024-0121,Udi,True,2024-03-15,+2348090573556
recFRM0122,2026-03-15T08:00:00.000Z,FRM-2024-0122,Aninri,True,2024-03-15,+2348027402641
recFRM0123,2026-03-15T08:00:00.000Z,FRM-2024-0123,Nsukka,True,2024-03-15,+2348021436476
recFRM0124,2026-03-15T08:00:00.000Z,FRM-2024-0124,Enugu-East,True,2024-03-15,+2348095523082
recFRM0125,2026-03-15T08:00:00.000Z,FRM-2024-0125,Udi,True,2024-03-15,+2348068495785
recFRM0126,2026-03-15T08:00:00.000Z,FRM-2024-0126,Nsukka,True,2024-03-15,+2348060948802
recFRM0127,2026-03-15T08:00:00.000Z,FRM-2024-0127,Aninri,True,2024-03-15,+2348059179662
recFRM0128,2026-03-15T08:00:00.000Z,FRM-2024-0128,Nsukka,True,2024-03-15,+2348037898449
recFRM0129,2026-03-15T08:00:00.000Z,FRM-2024-0129,Igbo-Eze,True,2024-03-15,+2348035318244
recFRM0130,2026-03-15T08:00:00.000Z,FRM-2024-0130,Udi,True,2024-03-15,+2348099549714
recFRM0131,2026-03-15T08:00:00.000Z,FRM-2024-0131,Nsukka,True,2024-03-15,+2348058343365
recFRM0132,2026-03-15T08:00:00.000Z,FRM-2024-0132,Aninri,True,2024-03-15,+2348014351450
recFRM0133,2026-03-15T08:00:00.000Z,FRM-2024-0133,Nsukka,True,2024-03-15,+2348011564052
recFRM0134,2026-03-15T08:00:00.000Z,FRM-2024-0134,Enugu-East,True,2024-03-15,+2348040965398
recFRM0135,2026-03-15T08:00:00.000Z,FRM-2024-0135,Igbo-Eze,True,2024-03-15,+2348061097298
recFRM0136,2026-03-15T08:00:00.000Z,FRM-2024-0136,Igbo-Eze,True,2024-03-15,+2348031409481
recFRM0137,2026-03-15T08:00:00.000Z,FRM-2024-0137,Udi,True,2024-03-15,+2348079891374
recFRM0138,2026-03-15T08:00:00.000Z,FRM-2024-0138,Aninri,True,2024-03-15,+2348026042123
recFRM0139,2026-03-15T08:00:00.000Z,FRM-2024-0139,Aninri,True,2024-03-15,+2348049986557
recFRM0140,2026-03-15T08:00:00.000Z,FRM-2024-0140,Enugu-East,True,2024-03-15,+2348045912582
recFRM0141,2026-03-15T08:00:00.000Z,FRM-2024-0141,Aninri,True,2024-03-15,+2348075656925
recFRM0142,2026-03-15T08:00:00.000Z,FRM-2024-0142,Aninri,True,2024-03-15,+2348076331739
recFRM0143,2026-03-15T08:00:00.000Z,FRM-2024-0143,Aninri,True,2024-03-15,+2348076534449
recFRM0144,2026-03-15T08:00:00.000Z,FRM-2024-0144,Nsukka,True,2024-03-15,+2348049588588
recFRM0145,2026-03-15T08:00:00.000Z,FRM-2024-0145,Igbo-Eze,True,2024-03-15,+2348038020619
recFRM0146,2026-03-15T08:00:00.000Z,FRM-2024-0146,Nsukka,True,2024-03-15,+2348015535960
recFRM0147,2026-03-15T08:00:00.000Z,FRM-2024-0147,Aninri,True,2024-03-15,+2348097091399
recFRM0148,2026-03-15T08:00:00.000Z,FRM-2024-0148,Enugu-East,True,2024-03-15,+2348097005608
recFRM0149,2026-03-15T08:00:00.000Z,FRM-2024-0149,Udi,True,2024-03-15,+2348034180144
recFRM0150,2026-03-15T08:00:00.000Z,FRM-2024-0150,Nsukka,True,2024-03-15,+2348034569734
recFRM0151,2026-03-15T08:00:00.000Z,FRM-2024-0151,Enugu-East,True,2024-03-15,+2348039535321
recFRM0152,2026-03-15T08:00:00.000Z,FRM-2024-0152,Nsukka,True,2024-03-15,+2348011904044
recFRM0153,2026-03-15T08:00:00.000Z,FRM-2024-0153,Nsukka,True,2024-03-15,+2348059120079
recFRM0154,2026-03-15T08:00:00.000Z,FRM-2024-0154,Nsukka,True,2024-03-15,+2348018138547
recFRM0155,2026-03-15T08:00:00.000Z,FRM-2024-0155,Aninri,True,2024-03-15,+2348030456849
recFRM0156,2026-03-15T08:00:00.000Z,FRM-2024-0156,Nsukka,True,2024-03-15,+2348086120567
recFRM0157,2026-03-15T08:00:00.000Z,FRM-2024-0157,Nsukka,True,2024-03-15,+2348060374850
recFRM0158,2026-03-15T08:00:00.000Z,FRM-2024-0158,Udi,True,2024-03-15,+2348014655689
recFRM0159,2026-03-15T08:00:00.000Z,FRM-2024-0159,Udi,True,2024-03-15,+2348047438201
recFRM0160,2026-03-15T08:00:00.000Z,FRM-2024-0160,Udi,True,2024-03-15,+2348050869119
recFRM0161,2026-03-15T08:00:00.000Z,FRM-2024-0161,Nsukka,True,2024-03-15,+2348056749670
recFRM0162,2026-03-15T08:00:00.000Z,FRM-2024-0162,Udi,True,2024-03-15,+2348072847253
recFRM0163,2026-03-15T08:00:00.000Z,FRM-2024-0163,Aninri,True,2024-03-15,+2348094367579
recFRM0164,2026-03-15T08:00:00.000Z,FRM-2024-0164,Nsukka,True,2024-03-15,+2348081861233
recFRM0165,2026-03-15T08:00:00.000Z,FRM-2024-0165,Nsukka,True,2024-03-15,+2348024887888
recFRM0166,2026-03-15T08:00:00.000Z,FRM-2024-0166,Enugu-East,True,2024-03-15,+2348025079887
recFRM0167,2026-03-15T08:00:00.000Z,FRM-2024-0167,Nsukka,True,2024-03-15,+2348076131907
recFRM0168,2026-03-15T08:00:00.000Z,FRM-2024-0168,Enugu-East,True,2024-03-15,+2348072472599
recFRM0169,2026-03-15T08:00:00.000Z,FRM-2024-0169,Aninri,True,2024-03-15,+2348015901020
recFRM0170,2026-03-15T08:00:00.000Z,FRM-2024-0170,Nsukka,True,2024-03-15,+2348061865988
recFRM0171,2026-03-15T08:00:00.000Z,FRM-2024-0171,Nsukka,True,2024-03-15,+2348032962467
recFRM0172,2026-03-15T08:00:00.000Z,FRM-2024-0172,Udi,True,2024-03-15,+2348080147615
recFRM0173,2026-03-15T08:00:00.000Z,FRM-2024-0173,Enugu-East,True,2024-03-15,+2348073356258
recFRM0174,2026-03-15T08:00:00.000Z,FRM-2024-0174,Udi,True,2024-03-15,+2348013696724
recFRM0175,2026-03-15T08:00:00.000Z,FRM-2024-0175,Aninri,True,2024-03-15,+2348054897719
recFRM0176,2026-03-15T08:00:00.000Z,FRM-2024-0176,Enugu-East,True,2024-03-15,+2348030743153
recFRM0177,2026-03-15T08:00:00.000Z,FRM-2024-0177,Enugu-East,True,2024-03-15,+2348038666476
recFRM0178,2026-03-15T08:00:00.000Z,FRM-2024-0178,Nsukka,True,2024-03-15,+2348099817291
recFRM0179,2026-03-15T08:00:00.000Z,FRM-2024-0179,Aninri,True,2024-03-15,+2348054818052
recFRM0180,2026-03-15T08:00:00.000Z,FRM-2024-0180,Aninri,True,2024-03-15,+2348058138283
recFRM0181,2026-03-15T08:00:00.000Z,FRM-2024-0181,Igbo-Eze,True,2024-03-15,+2348048392989
recFRM0182,2026-03-15T08:00:00.000Z,FRM-2024-0182,Igbo-Eze,True,2024-03-15,+2348029519318
recFRM0183,2026-03-15T08:00:00.000Z,FRM-2024-0183,Aninri,True,2024-03-15,+2348034439204
recFRM0184,2026-03-15T08:00:00.000Z,FRM-2024-0184,Udi,True,2024-03-15,+2348095820134
recFRM0185,2026-03-15T08:00:00.000Z,FRM-2024-0185,Igbo-Eze,True,2024-03-15,+2348024357020
recFRM0186,2026-03-15T08:00:00.000Z,FRM-2024-0186,Udi,True,2024-03-15,+2348020049316
recFRM0187,2026-03-15T08:00:00.000Z,FRM-2024-0187,Enugu-East,True,2024-03-15,+2348095926291
recFRM0188,2026-03-15T08:00:00.000Z,FRM-2024-0188,Igbo-Eze,True,2024-03-15,+2348060677658
recFRM0189,2026-03-15T08:00:00.000Z,FRM-2024-0189,Igbo-Eze,True,2024-03-15,+2348015052744
recFRM0190,2026-03-15T08:00:00.000Z,FRM-2024-0190,Igbo-Eze,True,2024-03-15,+2348061226663
recFRM0191,2026-03-15T08:00:00.000Z,FRM-2024-0191,Udi,True,2024-03-15,+2348080045727
recFRM0192,2026-03-15T08:00:00.000Z,FRM-2024-0192,Udi,True,2024-03-15,+2348095128044
recFRM0193,2026-03-15T08:00:00.000Z,FRM-2024-0193,Nsukka,True,2024-03-15,+2348045298241
recFRM0194,2026-03-15T08:00:00.000Z,FRM-2024-0194,Enugu-East,True,2024-03-15,+2348068846650
recFRM0195,2026-03-15T08:00:00.000Z,FRM-2024-0195,Enugu-East,True,2024-03-15,+2348041166474
recFRM0196,2026-03-15T08:00:00.000Z,FRM-2024-0196,Nsukka,True,2024-03-15,+2348043053365
recFRM0197,2026-03-15T08:00:00.000Z,FRM-2024-0197,Aninri,True,2024-03-15,+2348034245425
recFRM0198,2026-03-15T08:00:00.000Z,FRM-2024-0198,Enugu-East,True,2024-03-15,+2348026154067
recFRM0199,2026-03-15T08:00:00.000Z,FRM-2024-0199,Igbo-Eze,True,2024-03-15,+2348028191708
recFRM0200,2026-03-15T08:00:00.000Z,FRM-2024-0200,Aninri,True,2024-03-15,+2348094991806
recFRM0201,2026-03-15T08:00:00.000Z,FRM-2024-0201,Udi,True,2024-03-15,+2348044470940
recFRM0202,2026-03-15T08:00:00.000Z,FRM-2024-0202,Udi,True,2024-03-15,+2348081304314
recFRM0203,2026-03-15T08:00:00.000Z,FRM-2024-0203,Nsukka,True,2024-03-15,+2348029029948
recFRM0204,2026-03-15T08:00:00.000Z,FRM-2024-0204,Nsukka,True,2024-03-15,+2348061316659
recFRM0205,2026-03-15T08:00:00.000Z,FRM-2024-0205,Udi,True,2024-03-15,+2348010841686
recFRM0206,2026-03-15T08:00:00.000Z,FRM-2024-0206,Enugu-East,True,2024-03-15,+2348083096266
recFRM0207,2026-03-15T08:00:00.000Z,FRM-2024-0207,Nsukka,True,2024-03-15,+2348098701035
recFRM0208,2026-03-15T08:00:00.000Z,FRM-2024-0208,Udi,True,2024-03-15,+2348082098258
recFRM0209,2026-03-15T08:00:00.000Z,FRM-2024-0209,Enugu-East,True,2024-03-15,+2348054841724
recFRM0210,2026-03-15T08:00:00.000Z,FRM-2024-0210,Igbo-Eze,True,2024-03-15,+2348039702313
recFRM0211,2026-03-15T08:00:00.000Z,FRM-2024-0211,Udi,True,2024-03-15,+2348045675460
recFRM0212,2026-03-15T08:00:00.000Z,FRM-2024-0212,Igbo-Eze,True,2024-03-15,+2348047467137
recFRM0213,2026-03-15T08:00:00.000Z,FRM-2024-0213,Udi,True,2024-03-15,+2348040787041
recFRM0214,2026-03-15T08:00:00.000Z,FRM-2024-0214,Igbo-Eze,True,2024-03-15,+2348033188589
recFRM0215,2026-03-15T08:00:00.000Z,FRM-2024-0215,Igbo-Eze,True,2024-03-15,+2348030136392
recFRM0216,2026-03-15T08:00:00.000Z,FRM-2024-0216,Enugu-East,True,2024-03-15,+2348080704100
recFRM0217,2026-03-15T08:00:00.000Z,FRM-2024-0217,Enugu-East,True,2024-03-15,+2348018403649
recFRM0218,2026-03-15T08:00:00.000Z,FRM-2024-0218,Igbo-Eze,True,2024-03-15,+2348016069818
recFRM0219,2026-03-15T08:00:00.000Z,FRM-2024-0219,Igbo-Eze,True,2024-03-15,+2348092122671
recFRM0220,2026-03-15T08:00:00.000Z,FRM-2024-0220,Aninri,True,2024-03-15,+2348019220897
recFRM0221,2026-03-15T08:00:00.000Z,FRM-2024-0221,Nsukka,True,2024-03-15,+2348019885457
recFRM0222,2026-03-15T08:00:00.000Z,FRM-2024-0222,Udi,True,2024-03-15,+2348097724335
recFRM0223,2026-03-15T08:00:00.000Z,FRM-2024-0223,Aninri,True,2024-03-15,+2348076067199
recFRM0224,2026-03-15T08:00:00.000Z,FRM-2024-0224,Udi,True,2024-03-15,+2348031257176
recFRM0225,2026-03-15T08:00:00.000Z,FRM-2024-0225,Udi,True,2024-03-15,+2348020064756
recFRM0226,2026-03-15T08:00:00.000Z,FRM-2024-0226,Aninri,True,2024-03-15,+2348021981599
recFRM0227,2026-03-15T08:00:00.000Z,FRM-2024-0227,Igbo-Eze,True,2024-03-15,+2348048347422
recFRM0228,2026-03-15T08:00:00.000Z,FRM-2024-0228,Aninri,True,2024-03-15,+2348077169576
recFRM0229,2026-03-15T08:00:00.000Z,FRM-2024-0229,Nsukka,True,2024-03-15,+2348047751406
recFRM0230,2026-03-15T08:00:00.000Z,FRM-2024-0230,Enugu-East,True,2024-03-15,+2348064615844
recFRM0231,2026-03-15T08:00:00.000Z,FRM-2024-0231,Igbo-Eze,True,2024-03-15,+2348048550107
recFRM0232,2026-03-15T08:00:00.000Z,FRM-2024-0232,Enugu-East,True,2024-03-15,+2348056301246
recFRM0233,2026-03-15T08:00:00.000Z,FRM-2024-0233,Enugu-East,True,2024-03-15,+2348025327417
recFRM0234,2026-03-15T08:00:00.000Z,FRM-2024-0234,Igbo-Eze,True,2024-03-15,+2348080064880
recFRM0235,2026-03-15T08:00:00.000Z,FRM-2024-0235,Aninri,True,2024-03-15,+2348010822927
recFRM0236,2026-03-15T08:00:00.000Z,FRM-2024-0236,Udi,True,2024-03-15,+2348013091574
recFRM0237,2026-03-15T08:00:00.000Z,FRM-2024-0237,Aninri,True,2024-03-15,+2348019332422
recFRM0238,2026-03-15T08:00:00.000Z,FRM-2024-0238,Igbo-Eze,True,2024-03-15,+2348082335507
recFRM0239,2026-03-15T08:00:00.000Z,FRM-2024-0239,Igbo-Eze,True,2024-03-15,+2348036465951
recFRM0240,2026-03-15T08:00:00.000Z,FRM-2024-0240,Igbo-Eze,True,2024-03-15,+2348091923429
recFRM0241,2026-03-15T08:00:00.000Z,FRM-2024-0241,Udi,True,2024-03-15,+2348064011218
recFRM0242,2026-03-15T08:00:00.000Z,FRM-2024-0242,Aninri,True,2024-03-15,+2348013015222
recFRM0243,2026-03-15T08:00:00.000Z,FRM-2024-0243,Igbo-Eze,True,2024-03-15,+2348076074860
recFRM0244,2026-03-15T08:00:00.000Z,FRM-2024-0244,Aninri,True,2024-03-15,+2348064579341
recFRM0245,2026-03-15T08:00:00.000Z,FRM-2024-0245,Aninri,True,2024-03-15,+2348087158578
recFRM0246,2026-03-15T08:00:00.000Z,FRM-2024-0246,Aninri,True,2024-03-15,+2348025858885
recFRM0247,2026-03-15T08:00:00.000Z,FRM-2024-0247,Nsukka,True,2024-03-15,+2348048747876
recFRM0248,2026-03-15T08:00:00.000Z,FRM-2024-0248,Udi,True,2024-03-15,+2348032143014
