wa_id,profile_name,phone_number,opted_in,last_seen
15755550084,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550085,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550086,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550087,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550088,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550089,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550090,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550091,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550092,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550093,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550094,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550095,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550096,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550097,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550098,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550099,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550100,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550101,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550102,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550103,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550104,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550105,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550106,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550107,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550108,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550109,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550110,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550111,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550112,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550113,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550114,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550115,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550116,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550117,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550118,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550119,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550120,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550121,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550122,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550123,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550124,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550125,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550126,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550127,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550128,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550129,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550130,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550131,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550132,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550133,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550134,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550135,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550136,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550137,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550138,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550139,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550140,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550141,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550142,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550143,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550144,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550145,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550146,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550147,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550148,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550149,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550150,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550151,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550152,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550153,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550154,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550155,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550156,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550157,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550158,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550159,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550160,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550161,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550162,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550163,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550164,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550165,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550166,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550167,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550168,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550169,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550170,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550171,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550172,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550173,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550174,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550175,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550176,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550177,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550178,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550179,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550180,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550181,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550182,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550183,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550184,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550185,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550186,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550187,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550188,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550189,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550190,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550191,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550192,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550193,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550194,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550195,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550196,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550197,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550198,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550199,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550200,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550201,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550202,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550203,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550204,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550205,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550206,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550207,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550208,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550209,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550210,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550211,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550212,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550213,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550214,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550215,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550216,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550217,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550218,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550219,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550220,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550221,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550222,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550223,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550224,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550225,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550226,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550227,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550228,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550229,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550230,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550231,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550232,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550233,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550234,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550235,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550236,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550237,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550238,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550239,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550240,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550241,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550242,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550243,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550244,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550245,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550246,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550247,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550248,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550249,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550250,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550251,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550252,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550253,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550254,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550255,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550256,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550257,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550258,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550259,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550260,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550261,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550262,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550263,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550264,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550265,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550266,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550267,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550268,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550269,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550270,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550271,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550272,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550273,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550274,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550275,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550276,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550277,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550278,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550279,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550280,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550281,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550282,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550283,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550284,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550285,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550286,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
15755550287,Rosa Salazar,+15755556208,True,2026-10-18T20:14:00-06:00
15755550288,Marco Reyes,+15755556215,True,2026-10-19T11:48:00-06:00
15755550289,Sofia Delgado,+15755556236,True,2026-10-15T10:02:00-06:00
15755550290,Diego Trujillo,+15755556243,True,2026-10-19T14:30:00-06:00
15755550291,Carmen Salazar,+15755556201,True,2026-10-19T18:32:00-06:00
