event_id,email,display_name,response_status,optional,organizer
evt_g029,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,needsAction,False,False
evt_g031,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,tentative,False,False
evt_g031,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,needsAction,True,False
evt_g031,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,tentative,True,False
evt_g033,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,accepted,False,False
evt_g033,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,needsAction,False,False
evt_g033,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,needsAction,False,False
evt_g034,d.ouellet.conseil@Finthesiss.ai,David Ouellet,accepted,False,False
evt_g035,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,needsAction,True,False
evt_g035,d.ouellet.conseil@Finthesiss.ai,David Ouellet,accepted,True,False
evt_g035,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,tentative,True,False
evt_g036,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,needsAction,False,False
evt_g036,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,accepted,False,False
evt_g038,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,accepted,True,False
evt_g039,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,tentative,False,False
evt_g040,d.ouellet.conseil@Finthesiss.ai,David Ouellet,accepted,True,False
evt_g040,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,accepted,False,False
evt_g041,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,accepted,True,False
evt_g041,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,needsAction,True,False
evt_g041,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,needsAction,True,False
evt_g042,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,accepted,False,False
evt_g042,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,needsAction,False,False
evt_g043,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,needsAction,True,False
evt_g044,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,accepted,True,False
evt_g044,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,tentative,False,False
evt_g044,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,tentative,True,False
evt_g045,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,accepted,True,False
evt_g045,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,accepted,False,False
evt_g046,d.ouellet.conseil@Finthesiss.ai,David Ouellet,accepted,True,False
evt_g047,d.ouellet.conseil@Finthesiss.ai,David Ouellet,needsAction,False,False
evt_g048,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,needsAction,False,False
evt_g048,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,tentative,True,False
evt_g048,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,accepted,False,False
evt_g049,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,needsAction,False,False
evt_g051,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,tentative,True,False
evt_g052,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,needsAction,True,False
evt_g052,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,accepted,False,False
evt_g053,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,tentative,True,False
evt_g053,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,accepted,True,False
evt_g054,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,tentative,False,False
evt_g054,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,tentative,False,False
evt_g054,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,needsAction,True,False
evt_g055,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,tentative,False,False
evt_g055,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,accepted,False,False
evt_g055,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,needsAction,True,False
evt_g056,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,accepted,True,False
evt_g056,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,accepted,True,False
evt_g057,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,needsAction,True,False
evt_g058,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,needsAction,True,False
evt_g058,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,accepted,True,False
evt_g059,d.ouellet.conseil@Finthesiss.ai,David Ouellet,tentative,False,False
evt_g061,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,tentative,True,False
evt_g065,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,tentative,True,False
evt_g066,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,tentative,False,False
evt_g066,pierre.armstrong.transport@Finthesiss.ai,Pierre Armstrong,needsAction,True,False
evt_g066,lucie.bergeron.velo@Finthesiss.ai,Lucie Bergeron,tentative,True,False
evt_g067,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,accepted,True,False
evt_g067,nathalie.armstrong.design@Finthesiss.ai,Nathalie Armstrong,tentative,False,False
evt_g067,amara.diallo.urbaniste@Finthesiss.ai,Amara Diallo,tentative,False,False
evt_g068,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,tentative,True,False
evt_g068,marc.tremblay.enviro@Finthesiss.ai,Marc Tremblay,needsAction,True,False
evt_g068,jf.lavigne.ville@Finthesiss.ai,Jean-Francois Lavigne,tentative,False,False
evt_g069,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,tentative,True,False
evt_g070,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,accepted,True,False
evt_g070,simone.armstrong.plateau@Finthesiss.ai,Simone Armstrong,tentative,True,False
evt_g070,mcdubois.clinique@Finthesiss.ai,Marie-Claire Dubois,accepted,False,False
evt_g072,sophie.chen.plateau@Finthesiss.ai,Sophie Chen,needsAction,False,False
