sheet_id,cell,value,note
sheet_volunteer_avail,E1,Fri_Oct16_PM,header
sheet_volunteer_avail,A2,Maria Sanchez,
sheet_volunteer_avail,B2,available,Current availability status
sheet_volunteer_avail,C2,available,
sheet_volunteer_avail,D2,available,
sheet_volunteer_avail,E2,available,
sheet_volunteer_avail,A3,Jorge Ortega,
sheet_volunteer_avail,B3,unavailable,
sheet_volunteer_avail,C3,available,
sheet_volunteer_avail,D3,available,
sheet_volunteer_avail,E3,unavailable,
sheet_chain_of_custody_sep,A1,Site,header
sheet_chain_of_custody_sep,B1,Sample_Date,header
sheet_chain_of_custody_sep,C1,pH,header
sheet_chain_of_custody_sep,D1,Cond_uScm,header
sheet_chain_of_custody_sep,E1,Turb_NTU,header
sheet_chain_of_custody_sep,F1,DO_mgL,header
sheet_chain_of_custody_sep,G1,Nitrate_mgL,header
sheet_chain_of_custody_sep,H1,Lab_Status,header
sheet_chain_of_custody_sep,A2,7,
sheet_chain_of_custody_sep,B2,2026-09-23,
sheet_chain_of_custody_sep,C2,7.2,Lab result from September downstream pass
sheet_chain_of_custody_sep,D2,812,
sheet_chain_of_custody_sep,E2,7.4,
sheet_chain_of_custody_sep,F2,6.9,
sheet_chain_of_custody_sep,G2,3.8,
sheet_chain_of_custody_sep,H2,verified,
sheet_chain_of_custody_sep,A3,8,
sheet_chain_of_custody_sep,B3,2026-09-23,
sheet_chain_of_custody_sep,C3,7.8,
sheet_chain_of_custody_sep,D3,845,
sheet_chain_of_custody_sep,E3,9.2,
sheet_chain_of_custody_sep,F3,6.4,
sheet_chain_of_custody_sep,G3,4.6,
sheet_chain_of_custody_sep,H3,verified,
sheet_chain_of_custody_sep,A4,9,
sheet_chain_of_custody_sep,B4,2026-09-24,
sheet_chain_of_custody_sep,C4,7.6,
sheet_chain_of_custody_sep,D4,798,
sheet_chain_of_custody_sep,E4,6.1,
sheet_chain_of_custody_sep,F4,7.0,
sheet_chain_of_custody_sep,G4,3.2,
sheet_chain_of_custody_sep,H4,verified,
sheet_chain_of_custody_sep,A5,10,
sheet_chain_of_custody_sep,B5,2026-09-24,
sheet_chain_of_custody_sep,C5,7.5,
sheet_chain_of_custody_sep,D5,776,
sheet_chain_of_custody_sep,E5,5.5,
sheet_chain_of_custody_sep,F5,7.2,
sheet_chain_of_custody_sep,G5,2.9,
sheet_chain_of_custody_sep,H5,verified,
sheet_chain_of_custody_sep,A6,11,
sheet_chain_of_custody_sep,B6,2026-09-25,
sheet_chain_of_custody_sep,C6,7.4,
sheet_chain_of_custody_sep,D6,754,
sheet_chain_of_custody_sep,E6,4.8,
sheet_chain_of_custody_sep,F6,7.5,
sheet_chain_of_custody_sep,G6,2.5,
sheet_chain_of_custody_sep,H6,verified,
sheet_chain_of_custody_sep,A7,12,
sheet_chain_of_custody_sep,B7,2026-09-25,
sheet_chain_of_custody_sep,C7,7.3,
sheet_chain_of_custody_sep,D7,731,
sheet_chain_of_custody_sep,E7,4.2,
sheet_chain_of_custody_sep,F7,7.8,
sheet_chain_of_custody_sep,G7,2.1,
sheet_chain_of_custody_sep,H7,verified,
sheet_clearwater_budget,A1,Line,header
sheet_clearwater_budget,B1,Year_1,header
sheet_clearwater_budget,C1,Year_2,header
sheet_clearwater_budget,D1,Year_3,header
sheet_clearwater_budget,E1,Total,header
sheet_clearwater_budget,A2,Personnel (PI + RA),
sheet_clearwater_budget,B2,48000,
sheet_clearwater_budget,C2,48000,
sheet_clearwater_budget,D2,48000,
sheet_clearwater_budget,E2,144000,
sheet_clearwater_budget,A3,Lab supplies,
sheet_clearwater_budget,B3,12500,
sheet_clearwater_budget,C3,10250,
sheet_clearwater_budget,D3,8250,
sheet_clearwater_budget,E3,31000,
sheet_clearwater_budget,A4,Travel,
sheet_clearwater_budget,B4,6000,
sheet_clearwater_budget,C4,6000,
sheet_clearwater_budget,D4,6000,
sheet_clearwater_budget,E4,18000,
sheet_clearwater_budget,A5,Outreach materials,
sheet_clearwater_budget,B5,8000,
sheet_clearwater_budget,C5,5000,
sheet_clearwater_budget,D5,3000,
sheet_clearwater_budget,E5,16000,
sheet_clearwater_budget,A6,Equipment,
sheet_clearwater_budget,B6,18000,
sheet_clearwater_budget,C6,0,
sheet_clearwater_budget,D6,0,
sheet_clearwater_budget,E6,18000,
sheet_clearwater_budget,A7,Indirect (15%),
sheet_clearwater_budget,B7,13875,
sheet_clearwater_budget,C7,10388,
sheet_clearwater_budget,D7,9788,
sheet_clearwater_budget,E7,34050,
sheet_clearwater_budget,A8,Total,
sheet_clearwater_budget,B8,106375,
sheet_clearwater_budget,C8,79638,
sheet_clearwater_budget,D8,75038,
sheet_clearwater_budget,E8,261050,
sheet_volunteer_reg,A1,Reg_ID,header
sheet_volunteer_reg,B1,Name,header
sheet_volunteer_reg,C1,Status,header
sheet_volunteer_reg,D1,Reg_Date,header
sheet_volunteer_reg,E1,Total_Active,header
sheet_volunteer_reg,A2,47 registrations across roster,
sheet_volunteer_reg,E2,35,Active registrations as of last update
