sid,from_number,to_number,body,status,direction,num_segments,price,price_unit,error_code,date_sent,date_created
SM00000000000000000000000000000016,+15145550199,+15147851024,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:15:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000017,+15145550199,+15149899077,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:14:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000018,+15145550199,+15146998406,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:05:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000019,+15145550199,+15145543137,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:10:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000020,+15145550199,+15148935369,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:14:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000021,+15145550199,+15143882426,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:46:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000022,+15145550199,+15144082852,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:36:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000023,+15145550199,+15144287335,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:11:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000024,+15145550199,+15146546499,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:54:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000025,+15145550199,+15144272889,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:15:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000026,+15145550199,+15145621630,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:55:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000027,+15145550199,+15143006612,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:30:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000028,+15145550199,+15143858416,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:12:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000029,+15145550199,+15144304339,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:46:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000030,+15145550199,+15149524530,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:46:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000031,+15145550199,+15146398616,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:01:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000032,+15145550199,+15144334096,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:04:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000033,+15145550199,+15144639453,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:14:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000034,+15145550199,+15143402405,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:27:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000035,+15145550199,+15148610925,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:13:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000036,+15145550199,+15142533806,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:43:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000037,+15145550199,+15149961330,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:17:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000038,+15145550199,+15149126361,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:01:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000039,+15145550199,+15146767088,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:40:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000040,+15145550199,+15143252355,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:54:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000041,+15145550199,+15147704526,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:49:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000042,+15145550199,+15146302347,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:44:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000043,+15145550199,+15149513858,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:48:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000044,+15145550199,+15143601697,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:54:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000045,+15145550199,+15149295452,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:20:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000046,+15145550199,+15147600228,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:20:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000047,+15145550199,+15142090610,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:20:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000048,+15145550199,+15146160745,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:49:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000049,+15145550199,+15142520024,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:17:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000050,+15145550199,+15147184832,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:01:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000051,+15145550199,+15145147020,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:04:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000052,+15145550199,+15143361002,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:13:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000053,+15145550199,+15149222999,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:42:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000054,+15145550199,+15143428546,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:13:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000055,+15145550199,+15142525283,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:37:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000056,+15145550199,+15143904343,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:31:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000057,+15145550199,+15147951278,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:16:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000058,+15145550199,+15148613212,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:20:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000059,+15145550199,+15144163561,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:47:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000060,+15145550199,+15148252926,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:24:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000061,+15145550199,+15143303783,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:56:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000062,+15145550199,+15143664306,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:51:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000063,+15145550199,+15144558522,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:21:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000064,+15145550199,+15142587403,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:35:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000065,+15145550199,+15147134638,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:47:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000066,+15145550199,+15147061217,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:59:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000067,+15145550199,+15146516316,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:20:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000068,+15145550199,+15143433653,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:30:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000069,+15145550199,+15142318736,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:20:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000070,+15145550199,+15144889311,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:17:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000071,+15145550199,+15147238054,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:03:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000072,+15145550199,+15142008557,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:57:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000073,+15145550199,+15148343003,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:06:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000074,+15145550199,+15147789869,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:01:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000075,+15145550199,+15148290760,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:44:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000076,+15145550199,+15142142489,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:30:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000077,+15145550199,+15143651486,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:40:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000078,+15145550199,+15146734604,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:28:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000079,+15145550199,+15148999280,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:52:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000080,+15145550199,+15142330829,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:54:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000081,+15145550199,+15142739787,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:34:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000082,+15145550199,+15143035348,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:21:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000083,+15145550199,+15145207565,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:58:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000084,+15145550199,+15147555995,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:33:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000085,+15145550199,+15145895508,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:57:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000086,+15145550199,+15142210939,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:34:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000087,+15145550199,+15142818859,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:30:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000088,+15145550199,+15145217057,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:16:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000089,+15145550199,+15148607313,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:26:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000090,+15145550199,+15147359068,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:52:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000091,+15145550199,+15146484047,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:42:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000092,+15145550199,+15143848808,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:02:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000093,+15145550199,+15146128138,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:40:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000094,+15145550199,+15144724954,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:23:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000095,+15145550199,+15143625231,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:37:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000096,+15145550199,+15144263355,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:36:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000097,+15145550199,+15147534254,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:40:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000098,+15145550199,+15148586637,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:20:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000099,+15145550199,+15145998384,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:58:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000100,+15145550199,+15149280789,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:09:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000101,+15145550199,+15146643396,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:47:00-04:00,2026-10-15T06:00:00-04:00
SM00000000000000000000000000000102,+15145550199,+15149132976,"Rappel / Reminder: Mobilite Plateau consultation publique finale le 15 octobre, 19h, Centre communautaire du Plateau.",delivered,outbound-api,1,-0.0075,USD,,2026-10-15T06:15:00-04:00,2026-10-15T06:00:00-04:00
